,output_dim,nodes,activation,regularizer,stacking,dropout,nlayers,closer,optimizer,epochs,batch_size,loss_func,accuracy,loss,val_accuracy,val_loss
0,3,128,relu,,False,False,3,False,adam,17,64,categorical_crossentropy,0.7947180271148682,0.49437063932418823,0.7571548819541931,0.5963791012763977
1,3,128,relu,,False,False,3,False,adam,14,64,sparse_categorical_crossentropy,0.7919191718101501,0.501269519329071,0.7583333253860474,0.5895945429801941
2,3,128,relu,,False,False,3,True,adam,14,64,categorical_crossentropy,0.791856050491333,0.5073761940002441,0.7518518567085266,0.5930978059768677
3,3,128,relu,,False,False,3,True,adam,14,64,sparse_categorical_crossentropy,0.7904882431030273,0.5057700276374817,0.7546296119689941,0.5951427817344666
4,3,128,relu,,False,True,3,False,adam,12,64,categorical_crossentropy,0.7844065427780151,0.5174745321273804,0.7535353302955627,0.594137966632843
5,3,128,relu,,False,True,3,False,adam,17,64,sparse_categorical_crossentropy,0.7946127653121948,0.49588242173194885,0.7508417367935181,0.5969818830490112
6,3,128,relu,,False,True,3,True,adam,13,64,categorical_crossentropy,0.7887205481529236,0.5088435411453247,0.7545454502105713,0.5954947471618652
7,3,128,relu,,False,True,3,True,adam,15,64,sparse_categorical_crossentropy,0.7900883555412292,0.5021181106567383,0.7584174871444702,0.5982861518859863
8,3,128,relu,,True,False,3,False,adam,19,64,categorical_crossentropy,0.79612797498703,0.48632651567459106,0.7603535056114197,0.599534273147583
9,3,128,relu,,True,False,3,False,adam,16,64,sparse_categorical_crossentropy,0.7931607961654663,0.4998090863227844,0.7545454502105713,0.6007540822029114
10,3,128,relu,,True,False,3,True,adam,14,64,categorical_crossentropy,0.7898989915847778,0.5064201354980469,0.7435185313224792,0.6110270023345947
11,3,128,relu,,True,False,3,True,adam,13,64,sparse_categorical_crossentropy,0.7889519929885864,0.5104694962501526,0.7514309883117676,0.5933074355125427
12,3,128,relu,,True,True,3,False,adam,15,64,categorical_crossentropy,0.7911826372146606,0.5006230473518372,0.7549663186073303,0.597739040851593
13,3,128,relu,,True,True,3,False,adam,13,64,sparse_categorical_crossentropy,0.7876262664794922,0.5097069144248962,0.7583333253860474,0.5934508442878723
14,3,128,relu,,True,True,3,True,adam,16,64,categorical_crossentropy,0.7909511923789978,0.5008633136749268,0.7560606002807617,0.5908432602882385
15,3,128,relu,,True,True,3,True,adam,14,64,sparse_categorical_crossentropy,0.7918350100517273,0.5019502639770508,0.7562289834022522,0.5926000475883484
16,3,128,relu,L1,False,False,3,False,adam,17,64,categorical_crossentropy,0.7946338653564453,0.49389368295669556,0.7597643136978149,0.5970972180366516
17,3,128,relu,L1,False,False,3,False,adam,18,64,sparse_categorical_crossentropy,0.7975799441337585,0.48888903856277466,0.7595959305763245,0.5985551476478577
18,3,128,relu,L1,False,False,3,True,adam,12,64,categorical_crossentropy,0.787710428237915,0.515479326248169,0.755471408367157,0.5964464545249939
19,3,128,relu,L1,False,False,3,True,adam,15,64,sparse_categorical_crossentropy,0.7923189997673035,0.5036502480506897,0.7600168585777283,0.5907502174377441
20,3,128,relu,L1,False,True,3,False,adam,15,64,categorical_crossentropy,0.793749988079071,0.5002177357673645,0.7478114366531372,0.6043093800544739
21,3,128,relu,L1,False,True,3,False,adam,12,64,sparse_categorical_crossentropy,0.7859638333320618,0.5144325494766235,0.7501683235168457,0.5973616242408752
22,3,128,relu,L1,False,True,3,True,adam,14,64,categorical_crossentropy,0.7878998517990112,0.5091361403465271,0.7584174871444702,0.5972551703453064
23,3,128,relu,L1,False,True,3,True,adam,19,64,sparse_categorical_crossentropy,0.7965278029441833,0.4878096580505371,0.7583333253860474,0.6044464707374573
24,3,128,relu,L1,True,False,3,False,adam,13,64,categorical_crossentropy,0.7875841856002808,0.5109463334083557,0.7551347017288208,0.5935620665550232
25,3,128,relu,L1,True,False,3,False,adam,15,64,sparse_categorical_crossentropy,0.7920875549316406,0.5010442733764648,0.7548821568489075,0.6055393815040588
26,3,128,relu,L1,True,False,3,True,adam,14,64,categorical_crossentropy,0.7912247180938721,0.5054076313972473,0.755892276763916,0.5921509861946106
27,3,128,relu,L1,True,False,3,True,adam,13,64,sparse_categorical_crossentropy,0.7882996797561646,0.5120757222175598,0.7547138333320618,0.5929072499275208
